Date;CountryName;iso3;Region;lat;lon;CumulativePositive;CumulativeDeceased;CumulativeRecovered;CurrentlyPositive;Hospitalized;IntensiveCare
13/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;23;0;0;23;0;0
16/03/2020;Albania;ALB;Elbasan;41.040.028;20.186.454;2;0;0;2;;
16/03/2020;Albania;ALB;Fier;40.774.633;19.620.528;6;0;0;6;;
16/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;34;0;0;34;0;0
17/03/2020;Albania;ALB;Elbasan;41.040.028;20.186.454;2;0;0;2;;
17/03/2020;Albania;ALB;Fier;40.774.633;19.620.528;6;0;0;6;;
17/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;38;0;0;38;0;0
18/03/2020;Albania;ALB;Elbasan;41.040.028;20.186.454;2;0;0;2;;
18/03/2020;Albania;ALB;Fier;40.774.633;19.620.528;6;0;0;6;;
18/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;42;0;0;42;0;0
19/03/2020;Albania;ALB;Elbasan;41.040.028;20.186.454;2;0;0;2;;
19/03/2020;Albania;ALB;Fier;40.774.633;19.620.528;6;0;0;6;;
19/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;42;0;0;42;0;0
22/03/2020;Albania;ALB;Elbasan;41.040.028;20.186.454;2;0;0;2;;
22/03/2020;Albania;ALB;Fier;40.774.633;19.620.528;8;0;0;8;;
22/03/2020;Albania;ALB;Korçë;4.062.883;20.666.004;3;0;0;3;0;0
22/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;63;0;0;63;0;0
23/03/2020;Albania;ALB;Durrës;41.518.365;19.651.766;6;1;0;5;;
23/03/2020;Albania;ALB;Elbasan;41.040.028;20.186.454;2;0;0;2;;
23/03/2020;Albania;ALB;Fier;40.774.633;19.620.528;13;1;0;12;;
23/03/2020;Albania;ALB;Korçë;4.062.883;20.666.004;3;0;0;3;;
23/03/2020;Albania;ALB;Shkodër;4.217.682;19.719.451;1;0;0;1;;
23/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;71;2;0;69;;
23/03/2020;Albania;ALB;Vlorë;40.162.418;19.793.592;4;0;0;4;;
24/03/2020;Albania;ALB;Berat;406.285;20.090.775;1;0;0;1;;
24/03/2020;Albania;ALB;Durrës;41.518.365;19.651.766;8;1;0;7;;
24/03/2020;Albania;ALB;Elbasan;41.040.028;20.186.454;2;0;0;2;;
24/03/2020;Albania;ALB;Fier;40.774.633;19.620.528;16;1;0;15;;
24/03/2020;Albania;ALB;Korçë;4.062.883;20.666.004;9;0;0;9;;
24/03/2020;Albania;ALB;Kukës;42.066.696;20.419.467;2;0;0;2;;
24/03/2020;Albania;ALB;Lezhë;41.801.452;19.845.695;1;0;0;1;;
24/03/2020;Albania;ALB;Shkodër;4.217.682;19.719.451;2;0;0;2;;
24/03/2020;Albania;ALB;Tiranë;41.268.583;19.793.936;78;3;0;75;;
24/03/2020;Albania;ALB;Vlorë;40.162.418;19.793.592;4;0;0;4;;
25/03/2020;Albania;ALB;Berat;406.285;20.090.775;1;0;0;1;0;0
25/03/2020;Albania;ALB;Durrës;41.518.365;19.651.766;10;1;0;9;0;0
